State,2015,2016,2017,2018,2019
Alabama,13,26,28,43,34
Alaska,5,1,2,2,1
Arizona,51,48,35,48,33
Arkansas,40,42,37,44,35
California,127,137,147,145,149
Colorado,19,37,35,40,25
Connecticut,11,5,11,8,4
Delaware,1,0,4,4,13
District of Columbia,3,3,4,5,3
Florida,124,110,101,111,114
Georgia,113,97,94,86,68
Hawaii,4,4,4,1,4
Idaho,6,3,10,3,3
Illinois,77,64,74,70,106
Indiana,34,70,78,80,116
Iowa,12,12,19,16,25
Kansas,8,10,14,9,16
Kentucky,16,15,10,6,12
Louisiana,39,41,25,25,24
Maine,,,,3,3
Maryland,28,32,41,40,55
Massachusetts,14,8,,,
Michigan,83,86,51,49,63
Minnesota,17,28,24,30,17
Mississippi,35,41,40,30,35
Missouri,35,29,33,36,46
Montana,2,0,4,2,2
Nebraska,3,7,1,0,5
Nevada,13,13,21,19,20
New Hampshire,4,4,2,0,2
New Jersey,23,21,13,18,19
New Mexico,14,11,16,12,11
New York,108,95,127,118,69
North Carolina,,32,18,14,5
North Dakota,3,4,1,8,6
Ohio,74,66,73,106,79
Oklahoma,31,31,21,47,23
Oregon,27,19,30,26,23
Pennsylvania,31,47,42,45,54
Rhode Island,0,4,5,1,3
South Carolina,25,22,28,39,60
South Dakota,11,4,5,3,9
Tennessee,32,41,33,47,43
Texas,162,217,186,200,229
Utah,6,12,13,10,11
Vermont,3,0,0,1,2
Virginia,54,45,41,37,49
Washington,27,15,18,28,25
West Virginia,9,20,17,8,17
Wisconsin,17,25,31,24,34
Wyoming,2,4,4,1,0
National,1603,1708,1677,1751,1809
Reporting States,50,50,50,51,51
